Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZCUB5:Zone Mean Air Temperature [C](TimeStep),TZCUB6:Zone Mean Air Temperature [C](TimeStep),TZCUB7:Zone Mean Air Temperature [C](TimeStep),TZLABORATORIOS:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB5:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB6:Zone Mean Air Temperature [C](TimeStep),TZTECHOCUB7:Zone Mean Air Temperature [C](TimeStep) 
 05/03  15:40:00,33.3,30.54480536309709,30.07355836039236,30.674981095534599,30.122968193671487,28.845549199857108,28.538031690639316,29.452815112931817 
 05/03  15:50:00,33.5,30.609950300023674,30.095167279281534,30.78095009768376,30.303068079359219,28.981792574465346,28.652374710165053,30.7473863288268 
 05/03  16:00:00,32.9,30.638002524176537,30.07186556076201,30.83313142620217,30.5114565964317,29.081183513282917,28.73030897174726,30.908331073171465 
 05/03  16:10:00,32.6,30.653864806217098,30.062753490490907,30.956395313839559,30.65886113205595,29.187255509136685,28.809862092885333,31.543407169844927 
 05/03  16:20:00,30.9,30.644920612859868,30.02034674044803,30.74310719319004,30.811607488768865,29.22038452380361,28.817793052114128,30.477384726202304 
 05/03  16:30:00,29.4,30.61064820263046,29.944472342273757,30.41281193340333,31.014479685449947,29.273984064102714,28.855442750377138,29.370090648902435 
 05/03  16:40:00,29.0,30.606793765954884,29.921666760145447,30.3952874829984,31.099468518711029,29.306797903816365,28.88123084905113,29.06979197188987 
 05/03  16:50:00,28.4,30.59939606314293,29.883804213605985,30.401866318036494,31.219253903102364,29.322822415528269,28.89182940837714,29.073720104249849 
 05/03  17:00:00,29.2,30.64569680630054,29.89708649247702,30.433977359652589,31.33578129756346,29.344172505001344,28.91239486438457,29.249495964052977 
 05/03  17:10:00,28.0,30.6583714832089,29.897881470527616,30.347935725760999,31.370439680042954,29.31937986759874,28.892183288002899,28.454532375899789 
 05/03  17:20:00,26.8,30.650799139125775,29.88013648007012,30.29682427092267,31.391959178333925,29.28898701465264,28.865344009852828,28.031476891279977 
 05/03  17:30:00,26.8,30.65955548295337,29.875571076546114,30.250288535336897,31.414562933864646,29.260687492755954,28.84351343570207,27.956265256889276 
 05/03  17:40:00,27.5,30.692037860544887,29.903416925598287,30.306445966721144,31.408596781915258,29.242334114472479,28.8324431322101,28.286043706368976 
 05/03  17:50:00,28.0,30.73843059052776,29.946207945328934,30.382063411231596,31.386679737496704,29.21537356195237,28.81389084987235,28.498099914850305 
 05/03  18:00:00,28.3,30.77661045982981,29.983238960751274,30.521060252496647,31.350606210629704,29.1787855667321,28.78650797523722,28.650499668695724 
 05/03  18:10:00,28.1,29.613213836990309,28.820573306669233,29.369027208151385,31.31142718399158,29.14067260609436,28.75612718605318,28.551571683590806 
 05/03  18:20:00,28.4,28.75321906054362,27.89468615932022,28.474405218797103,31.251134481194759,29.10484699362309,28.729197883570973,28.71442114926696 
 05/03  18:30:00,28.3,28.82904789763525,27.9622747423711,28.53682571564077,31.208298378503579,29.068119716676564,28.69960545335421,28.697490007951708 
 05/03  18:40:00,28.1,28.818981518060018,27.950351630405288,28.512144315092667,31.14075351128502,29.0240243068584,28.665481906676676,28.723070204504894 
 05/03  18:50:00,27.9,28.643523524721354,27.765494834576626,28.333593364223029,31.062397702632745,28.978020346092014,28.629105435150973,28.663614347047525 
 05/03  19:00:00,27.8,28.474580209375014,27.58133388753211,28.161163405404968,30.98998968874983,28.933831998242977,28.594371893839115,28.459440438622754 
 05/03  19:10:00,27.7,28.38085190025772,27.47199466075591,28.069239722140347,30.922188709670168,28.891646338706179,28.56102305989378,28.382294622150967 
 05/03  19:20:00,27.4,28.334841129445228,27.418766410320303,28.03010021737028,30.852628637224038,28.846651857927986,28.52563732053758,28.26137990802089 
 05/03  19:30:00,27.0,28.30876845103485,27.406826554033289,28.004634849546016,30.800219937060779,28.804278823149894,28.4916240497061,27.942103951003408 
 05/03  19:40:00,26.9,28.258857791176838,27.374691606776449,27.928679759365978,30.719668320080407,28.753154824022788,28.451611083781289,27.843432896657995 
 05/03  19:50:00,26.6,28.19117403727862,27.32103543651532,27.83008440231397,30.625578759759376,28.693256331370763,28.40349702882626,28.028188775897886 
 05/03  20:00:00,26.3,28.14900199133726,27.289821714326839,27.739339416400559,30.56190838190249,28.641551071464453,28.36021535646863,27.234536663710779 
 05/03  20:10:00,26.0,28.083643534750065,27.236856254371824,27.62677800972878,30.47452172013676,28.576613686200657,28.306363793482075,27.17688495768344 
 05/03  20:20:00,26.3,28.01908147271686,27.183953791242347,27.585999526010256,30.369948600860974,28.515704723570829,28.255525429830706,27.378721252441065 
 05/03  20:30:00,26.1,27.986611908956485,27.16219334407352,27.604345935320244,30.30271761076243,28.46867653268861,28.21259793648622,27.72468716142115 
 05/03  20:40:00,26.0,27.928017445969343,27.12107784880063,27.603214680981759,30.201337853847336,28.395249803653994,28.154983012643905,27.563886793521055 
 05/03  20:50:00,26.2,27.865335016179679,27.081911768040489,27.572783364373433,30.08251485643107,28.316506471797717,28.099182641645887,27.498388660376944 
 05/03  21:00:00,25.9,27.79774814401965,27.040793084220977,27.522815464667816,29.973512898949669,28.241080767654578,28.044360152471087,27.320384235431157 
